IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.74.155.26,80,false,SIN,Asia Pacific,Singapore,80 ms,14704 kB/s
47.90.141.204,80,false,LAX,North America,Los Angeles,250 ms,1498 kB/s
8.219.77.141,80,false,SJC,North America,San Jose,208 ms,1384 kB/s
8.209.119.190,80,false,SJC,North America,San Jose,242 ms,602 kB/s
47.57.245.232,80,false,SJC,North America,San Jose,72 ms,375 kB/s
47.57.13.107,80,false,HKG,Asia Pacific,Hong Kong,74 ms,212 kB/s
8.212.12.98,80,false,HKG,Asia Pacific,Hong Kong,71 ms,84 kB/s
149.129.8.215,80,false,SJC,North America,San Jose,100 ms,50 kB/s
47.57.233.126,80,false,SJC,North America,San Jose,70 ms,42 kB/s
8.218.148.106,80,false,HKG,Asia Pacific,Hong Kong,56 ms,35 kB/s
